"familia","sector","estado","provincia","num_cer","total_horas","total_cursos","total_ganacias","dia","mes","anio","volumen_capacitados","prediction(volumen_capacitados)"
"actividades de enseñanza","enseñanza","habilitado","pastaza",6.0,36.0,1.0,1500.0,18.0,12.0,2016.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","pastaza",11.0,66.0,2.0,2750.0,11.0,12.0,2016.0,17.0,24.142857142857142
"actividades de enseñanza","enseñanza","habilitado","pastaza",6.0,36.0,2.0,1500.0,11.0,12.0,2016.0,17.0,12.36500754147813
"actividades de enseñanza","enseñanza","habilitado","pastaza",4.0,24.0,1.0,1000.0,23.0,10.0,2017.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","pastaza",4.0,24.0,2.0,1000.0,26.0,3.0,2017.0,16.0,12.36500754147813
"actividades tipo servicios","reparación de computadores y de efectos personales y enseres domésticos","habilitado","pichincha",1.0,6.0,1.0,250.0,26.0,9.0,2019.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,3.0,8.0,2018.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","programación informática, consultoría de informática y actividades conexas","habilitado","pichincha",1.0,6.0,1.0,250.0,20.0,7.0,2018.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",3.0,18.0,3.0,750.0,25.0,11.0,2018.0,7.0,12.36500754147813
"actividades tipo servicios","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",1.0,6.0,3.0,250.0,25.0,11.0,2018.0,7.0,6.506150061500615
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","pichincha",1.0,6.0,1.0,250.0,7.0,8.0,2017.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",3.0,18.0,3.0,750.0,20.0,6.0,2019.0,7.0,12.36500754147813
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",1.0,6.0,1.0,250.0,10.0,12.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",1.0,6.0,2.0,250.0,28.0,4.0,2017.0,2.0,6.506150061500615
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",1.0,6.0,1.0,250.0,7.0,8.0,2019.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",1.0,6.0,1.0,250.0,17.0,8.0,2018.0,1.0,1.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",6.0,36.0,1.0,1500.0,16.0,8.0,2019.0,6.0,6.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",3.0,18.0,1.0,750.0,10.0,4.0,2018.0,3.0,3.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",2.0,12.0,1.0,500.0,20.0,12.0,2017.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",2.0,12.0,1.0,500.0,13.0,9.0,2017.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",2.0,12.0,1.0,500.0,11.0,12.0,2017.0,2.0,2.0
"turismo y alimentación","elaboración de productos alimenticios","habilitado","guayas",1.0,6.0,2.0,250.0,5.0,4.0,2017.0,3.0,6.506150061500615
"actividades comunitarias","actividades creativas, artísticas y de entretenimiento","habilitado","guayas",1.0,6.0,5.0,250.0,7.0,4.0,2017.0,8.0,13.868945868945868
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",1.0,6.0,1.0,250.0,27.0,2.0,2020.0,1.0,1.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",1.0,6.0,2.0,250.0,27.0,9.0,2018.0,2.0,6.506150061500615
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",1.0,6.0,2.0,250.0,27.0,9.0,2018.0,2.0,6.506150061500615
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",9.0,54.0,1.0,2250.0,22.0,11.0,2018.0,9.0,9.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",2.0,12.0,1.0,500.0,23.0,10.0,2018.0,2.0,2.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",2.0,12.0,2.0,500.0,3.0,10.0,2018.0,4.0,6.506150061500615
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",2.0,12.0,2.0,500.0,3.0,10.0,2018.0,4.0,6.506150061500615
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",10.0,60.0,1.0,2500.0,21.0,11.0,2018.0,10.0,10.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",1.0,6.0,1.0,250.0,13.0,9.0,2018.0,1.0,1.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",3.0,18.0,1.0,750.0,5.0,10.0,2018.0,3.0,3.0
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",2.0,12.0,2.0,500.0,10.0,9.0,2018.0,6.0,6.506150061500615
"vehículos, automotores, carrocerías y sus partes","comercio y reparación de vehículos automotores y motocicletas","habilitado","pichincha",2.0,12.0,2.0,500.0,21.0,9.0,2018.0,3.0,6.506150061500615
