"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,67.0,2.0,3.0,2018.0,67.0,66.66666666666667
"comercialización y venta de productos","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","manta","manabi",2.0,8.0,1.0,9.0,2018.0,1.0,3.9054726368159205
"turismo y alimentación","elaboración de productos alimenticios","habilitado","manta","manabi",2.0,8.0,1.0,9.0,2018.0,7.0,3.9054726368159205
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",3.0,7.0,20.0,12.0,2016.0,2.0,1.8744292237442923
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,21.0,26.0,1.0,2018.0,21.0,21.0
"pesca, acuacultura y maricultura","pesca y acuicultura","habilitado","manta","manabi",1.0,83.0,22.0,3.0,2018.0,83.0,82.25
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",2.0,2.0,24.0,1.0,2017.0,1.0,1.0
"turismo y alimentación","actividades de alojamiento","habilitado","manta","manabi",3.0,15.0,22.0,3.0,2017.0,2.0,5.828451882845188
"turismo y alimentación","servicio de alimento y bebida","habilitado","manta","manabi",5.0,13.0,24.0,11.0,2016.0,2.0,2.3189655172413794
"turismo y alimentación","servicio de alimento y bebida","habilitado","manta","manabi",4.0,28.0,16.0,12.0,2016.0,1.0,9.181818181818182
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",3.0,5.0,12.0,12.0,2016.0,2.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",3.0,5.0,12.0,12.0,2016.0,1.0,1.8744292237442923
"turismo y alimentación","elaboración de productos alimenticios","habilitado","manta","manabi",3.0,22.0,17.0,12.0,2016.0,1.0,5.828451882845188
"turismo y alimentación","servicio de alimento y bebida","habilitado","manta","manabi",3.0,4.0,23.0,11.0,2016.0,2.0,1.3373493975903614
"turismo y alimentación","elaboración de productos alimenticios","habilitado","manta","manabi",1.0,1.0,25.0,4.0,2017.0,1.0,1.0
"turismo y alimentación","actividades de alojamiento","habilitado","manta","manabi",3.0,6.0,29.0,3.0,2017.0,1.0,1.8744292237442923
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",1.0,11.0,6.0,12.0,2016.0,11.0,11.0
"actividades de enseñanza","enseñanza","habilitado","manta","manabi",1.0,4.0,16.0,11.0,2016.0,4.0,4.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","loja","loja",4.0,7.0,25.0,12.0,2020.0,2.0,1.8744292237442923
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","loja","loja",3.0,18.0,11.0,1.0,2021.0,15.0,5.828451882845188
"comercialización y venta de productos","comercio al por mayor, excepto el de vehículos automotores y motocicletas","habilitado","loja","loja",3.0,62.0,17.0,12.0,2020.0,1.0,39.333333333333336
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","loja","loja",1.0,4.0,6.0,11.0,2019.0,4.0,4.0
"comercialización y venta de productos","comercio al por mayor, excepto el de vehículos automotores y motocicletas","habilitado","loja","loja",3.0,10.0,29.0,12.0,2020.0,2.0,3.533333333333333
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,1.0,9.0,3.0,2021.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","riobamba","chimborazo",1.0,8.0,29.0,1.0,2020.0,8.0,8.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,1.0,4.0,12.0,2021.0,1.0,1.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,1.0,30.0,1.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,1.0,15.0,5.0,2022.0,1.0,1.0
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","riobamba","chimborazo",1.0,2.0,28.0,1.0,2020.0,2.0,2.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,1.0,19.0,9.0,2019.0,1.0,1.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,5.0,3.0,5.0,2018.0,5.0,5.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,3.0,28.0,3.0,2017.0,3.0,3.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,1.0,10.0,4.0,2019.0,1.0,1.0
