id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
6258,2176,1799,2.0,12.0,500.0,0.1591089896579156,2,26-06-2021,26,6,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6276,2176,2050,2.0,12.0,500.0,0.1591089896579156,2,30-01-2021,30,1,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6145,2176,38,2.0,12.0,500.0,0.1591089896579156,1,01-07-2020,1,7,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6198,2176,841,1.0,6.0,250.0,0.0795544948289578,1,12-10-2021,12,10,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6204,2176,919,1.0,6.0,250.0,0.0795544948289578,1,13-11-2021,13,11,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6247,2176,1623,1.0,6.0,250.0,0.0795544948289578,1,23-11-2021,23,11,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6159,2176,245,1.0,6.0,250.0,0.0795544948289578,1,04-05-2022,4,5,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6232,2176,1420,2.0,12.0,500.0,0.1591089896579156,1,21-01-2022,21,1,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6190,2176,708,1.0,6.0,250.0,0.0795544948289578,1,10-12-2020,10,12,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6213,2176,1091,3.0,18.0,750.0,0.2386634844868735,2,16-06-2021,16,6,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6219,2176,1229,1.0,6.0,250.0,0.0795544948289578,1,18-06-2021,18,6,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6241,2176,1507,2.0,12.0,500.0,0.1591089896579156,1,22-04-2021,22,4,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6254,2176,1703,1.0,6.0,250.0,0.0795544948289578,1,25-01-2022,25,1,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6217,2176,1197,4.0,24.0,1000.0,0.3182179793158313,2,17-12-2021,17,12,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6238,2176,1472,1.0,6.0,250.0,0.0795544948289578,1,21-10-2020,21,10,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6245,2176,1598,1.0,6.0,250.0,0.0795544948289578,1,23-07-2022,23,7,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6141,2176,6,2.0,12.0,500.0,0.1591089896579156,1,31-12-2021,31,12,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6157,2176,201,1.0,6.0,250.0,0.0795544948289578,1,03-10-2020,3,10,2020,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6188,2176,661,6.0,36.0,1500.0,0.477326968973747,1,10-04-2021,10,4,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6229,2176,1357,2.0,12.0,500.0,0.1591089896579156,1,20-03-2021,20,3,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6242,2176,1513,1.0,6.0,250.0,0.0795544948289578,1,22-05-2021,22,5,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6257,2176,1778,1.0,6.0,250.0,0.0795544948289578,1,26-02-2022,26,2,2022,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6262,2176,1848,1.0,6.0,250.0,0.0795544948289578,1,27-02-2021,27,2,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
6268,2176,1896,1.0,6.0,250.0,0.0795544948289578,1,27-10-2021,27,10,2021,villacis lopez cesar geovanny,desconocido,organismo evaluador de la conformidad,sin fecha resolución,quito,pichincha
5702,2098,2037,5.0,30.0,1250.0,0.0013056091580648,1,29-11-2019,29,11,2019,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5691,2098,800,3.0,18.0,750.0,0.0007833654948389,1,12-03-2021,12,3,2021,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5698,2098,1724,2.0,12.0,500.0,0.0005222436632259,1,25-05-2021,25,5,2021,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5699,2098,1746,13.0,78.0,3250.0,0.0033945838109686,1,25-09-2019,25,9,2019,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5693,2098,1127,7.0,42.0,1750.0,0.0018278528212908,1,16-12-2020,16,12,2020,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5695,2098,1196,62.0,372.0,15500.0,0.0161895535600044,3,17-12-2020,17,12,2020,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5696,2098,1413,1.0,6.0,250.0,0.0002611218316129,1,20-12-2020,20,12,2020,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5684,2098,58,6.0,36.0,1500.0,0.0015667309896778,1,01-10-2019,1,10,2019,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5687,2098,358,1.0,6.0,250.0,0.0002611218316129,1,05-12-2018,5,12,2018,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5701,2098,2036,1.0,6.0,250.0,0.0002611218316129,1,29-11-2018,29,11,2018,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5704,2098,2088,6.0,36.0,1500.0,0.0015667309896778,1,30-09-2019,30,9,2019,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5690,2098,713,16.0,96.0,4000.0,0.0041779493058076,2,11-01-2021,11,1,2021,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
5686,2098,153,3.0,18.0,750.0,0.0007833654948389,1,03-02-2021,3,2,2021,universidad tecnica particular de loja,habilitado,organismo evaluador de la conformidad,24-05-2021,loja,loja
