"estado","canton","provincia","id_fact_oec_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","volumen_horas","fecha","razon_social","tipo_razon_social","fecha_resolucion","volumen_cer","volumen_ganancias","total_perfiles","dia","mes","anio","prediction(volumen_horas)"
"habilitado","guayaquil","guayas",2459.0,13.0,2131.0,0.0,90.0,"31-10-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",15.0,3750.0,1.0,31.0,10.0,2019.0,90.0
"habilitado","guayaquil","guayas",2458.0,13.0,2090.0,0.0,12.0,"30-11-2018","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,30.0,11.0,2018.0,12.0
"habilitado","guayaquil","guayas",2456.0,13.0,2066.0,0.0,6.0,"30-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",1.0,250.0,1.0,30.0,7.0,2019.0,6.0
"habilitado","guayaquil","guayas",2406.0,13.0,68.0,0.0,228.0,"02-01-2020","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",38.0,9500.0,1.0,2.0,1.0,2020.0,228.0
"habilitado","guayaquil","guayas",2439.0,13.0,1469.0,0.0,12.0,"21-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,21.0,11.0,2019.0,12.0
"habilitado","guayaquil","guayas",2415.0,13.0,525.0,0.0,132.0,"08-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",22.0,5500.0,1.0,8.0,7.0,2019.0,132.0
"habilitado","guayaquil","guayas",2453.0,13.0,1964.0,0.0,120.0,"28-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",20.0,5000.0,1.0,28.0,11.0,2019.0,120.0
"habilitado","guayaquil","guayas",2417.0,13.0,552.0,0.0,30.0,"08-11-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",5.0,1250.0,1.0,8.0,11.0,2019.0,30.0
"habilitado","guayaquil","guayas",2422.0,13.0,739.0,0.0,12.0,"11-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",2.0,500.0,1.0,11.0,7.0,2019.0,12.0
"habilitado","guayaquil","guayas",2428.0,13.0,1086.0,0.0,126.0,"16-07-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","organismo evaluador de la conformidad","2/9/2021",21.0,5250.0,1.0,16.0,7.0,2019.0,126.0
