id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1340,613,4320,7,3.0,60.0,3562.2,1.7857142857142856
1341,613,4459,7,3.0,60.0,412.5523809523807,1.7857142857142856
1342,613,4460,7,3.0,60.0,814.1999999999999,1.7857142857142856
1343,613,4239,7,26.0,208.0,2716.48,15.476190476190476
1344,613,4240,7,26.0,208.0,1560.0,15.476190476190476
1345,613,4439,7,28.0,224.0,1540.1955555555546,16.666666666666664
1346,613,4440,7,28.0,224.0,33248.32,16.666666666666664
1347,613,4447,7,28.0,224.0,1540.1955555555546,16.666666666666664
1348,613,4448,7,28.0,224.0,7598.08,16.666666666666664
1349,613,4337,7,1.0,20.0,104.39999999999999,0.5952380952380952
1350,613,4338,7,1.0,20.0,463.6,0.5952380952380952
1351,613,4415,7,1.0,20.0,528.8000000000001,0.5952380952380952
1352,613,4416,7,1.0,20.0,210.0,0.5952380952380952
1353,613,4325,7,8.0,160.0,1100.1396825396819,4.761904761904762
1354,613,4326,7,8.0,160.0,2360.0,4.761904761904762
1355,613,4411,7,8.0,160.0,1100.1396825396819,4.761904761904762
1356,613,4412,7,8.0,160.0,2808.0,4.761904761904762
1357,613,4241,7,40.0,320.0,4179.2,23.809523809523807
1358,613,4242,7,40.0,320.0,2400.0,23.809523809523807
1359,613,4243,7,16.0,128.0,1671.68,9.523809523809524
1360,613,4244,7,16.0,128.0,880.64,9.523809523809524
1361,613,4245,7,28.0,224.0,2925.44,16.666666666666664
1362,613,4246,7,28.0,224.0,1680.0,16.666666666666664
1363,613,4271,7,21.0,168.0,2194.08,12.5
1364,613,4272,7,21.0,168.0,1260.0,12.5
1365,613,4273,7,65.0,520.0,6791.2,38.69047619047619
1366,613,4274,7,65.0,520.0,3900.0,38.69047619047619
1367,613,4309,7,2.0,20.0,440.6,1.1904761904761905
1368,613,4310,7,2.0,20.0,247.39999999999998,1.1904761904761905
1369,613,4375,7,2.0,20.0,209.0,1.1904761904761905
1370,613,4376,7,2.0,20.0,927.0,1.1904761904761905
1371,613,4267,7,168.0,3360.0,23102.93333333332,100.0
1372,613,4268,7,168.0,3360.0,42000.0,100.0
1373,613,4361,7,168.0,3360.0,23102.93333333332,100.0
1374,613,4362,7,168.0,3360.0,13675.2,100.0
1375,613,4315,7,1.0,20.0,528.8000000000001,0.5952380952380952
1376,613,4316,7,1.0,20.0,761.0,0.5952380952380952
1377,613,4381,7,1.0,20.0,104.39999999999999,0.5952380952380952
1378,613,4382,7,1.0,20.0,463.6,0.5952380952380952
1379,613,4443,7,36.0,288.0,19033.920000000002,21.428571428571427
1380,613,4444,7,36.0,288.0,27394.56,21.428571428571427
1381,613,4451,7,36.0,288.0,3761.28,21.428571428571427
1382,613,4452,7,36.0,288.0,1981.44,21.428571428571427
1383,613,4269,7,464.0,9280.0,63808.10158730155,276.1904761904762
1384,613,4270,7,464.0,9280.0,116000.0,276.1904761904762
1385,613,4363,7,464.0,9280.0,63808.10158730155,276.1904761904762
1386,613,4364,7,464.0,9280.0,37769.600000000006,276.1904761904762
1387,613,4455,7,35.0,280.0,1925.2444444444432,20.833333333333336
1388,613,4456,7,35.0,280.0,9497.6,20.833333333333336
1389,613,4469,7,35.0,280.0,1925.2444444444432,20.833333333333336
1390,613,4470,7,35.0,280.0,41560.4,20.833333333333336
1391,613,4477,7,8.0,120.0,825.1047619047614,4.761904761904762
1392,613,4478,7,8.0,120.0,1352.3999999999999,4.761904761904762
