id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
38.0,686.0,559,1,6.0,1,1,250.0,
38.0,686.0,560,24,144.0,1,24,250.0,
38.0,686.0,561,95,570.0,1,95,250.0,
38.0,686.0,562,4,24.0,1,4,250.0,
38.0,686.0,563,2,12.0,1,2,250.0,
38.0,686.0,564,11,66.0,1,11,250.0,
38.0,686.0,565,4,24.0,1,4,250.0,
38.0,686.0,566,2,12.0,1,2,250.0,
38.0,686.0,338,5,30.0,1,5,250.0,
38.0,686.0,568,15,90.0,1,15,250.0,
38.0,686.0,317,9,54.0,1,9,250.0,
38.0,686.0,570,30,180.0,1,30,250.0,
38.0,686.0,571,1,6.0,1,1,250.0,
38.0,686.0,572,42,252.0,1,42,250.0,
38.0,686.0,573,8,48.0,1,8,250.0,
38.0,686.0,574,43,258.0,1,43,250.0,
38.0,686.0,141,8,48.0,1,8,250.0,
38.0,686.0,576,20,120.0,1,20,250.0,
38.0,686.0,577,2,12.0,1,2,250.0,
38.0,686.0,578,27,162.0,1,27,250.0,
38.0,686.0,579,1,6.0,1,1,250.0,
38.0,686.0,119,20,120.0,1,20,250.0,
38.0,686.0,581,2,12.0,1,2,250.0,
38.0,686.0,582,4,24.0,1,4,250.0,
38.0,686.0,583,1,6.0,1,1,250.0,
38.0,686.0,584,13,78.0,1,13,250.0,
38.0,686.0,331,2,12.0,1,2,250.0,
38.0,686.0,320,15,90.0,1,15,250.0,
38.0,686.0,587,35,210.0,1,35,250.0,
311.0,,536,11,,2,12,,
311.0,,589,1,,2,2,,
311.0,,590,1,,2,4,,
311.0,,591,5,,1,5,,
311.0,,592,10,,2,21,,
311.0,,593,25,,1,25,,
311.0,,594,57,,1,57,,
311.0,,595,1,,1,1,,
311.0,,596,5,,1,5,,
311.0,,597,2,,1,2,,
311.0,,598,1,,1,1,,
311.0,,599,1,,1,1,,
311.0,,119,4,,2,15,,
311.0,,601,1,,1,1,,
311.0,,602,1,,1,1,,
311.0,,603,1,,1,1,,
311.0,,263,3,,1,3,,
311.0,,605,11,,1,11,,
311.0,,534,7,,1,7,,
311.0,,536,1,,2,12,,
311.0,,608,2,,1,2,,
311.0,,589,1,,2,2,,
311.0,,610,30,,1,30,,
311.0,,590,3,,2,4,,
311.0,,612,7,,1,7,,
311.0,,316,2,,1,2,,
311.0,,614,7,,1,7,,
311.0,,592,11,,2,21,,
311.0,,616,38,,1,38,,
311.0,,617,1,,1,1,,
311.0,,119,11,,2,15,,
489.0,596.0,619,8,48.0,1,8,250.0,
489.0,596.0,620,11,66.0,1,11,250.0,
489.0,596.0,536,1,6.0,1,1,250.0,
489.0,596.0,375,2,12.0,1,2,250.0,
489.0,596.0,137,8,48.0,1,8,250.0,
489.0,596.0,513,4,24.0,1,4,250.0,
489.0,596.0,273,4,24.0,1,4,250.0,
489.0,596.0,514,2,12.0,1,2,250.0,
